TIME_PERIOD,percentage
2024-01,2.5
2024-02,2.6
2024-03,2.6
2024-04,2.6
2024-05,2.6
2024-06,2.5
2024-07,2.6
2024-08,2.5
2024-09,2.4
2024-10,2.5
2024-11,2.5
2024-12,2.5
2024-01,5.7
2024-02,5.9
2024-03,6.1
2024-04,6.2
2024-05,6.3
2024-06,6.4
2024-07,6.4
2024-08,6.7
2024-09,6.6
2024-10,6.6
2024-11,6.9
2024-12,6.7
2024-01,3.7
2024-02,3.9
2024-03,3.9
2024-04,3.9
2024-06,4.1
2024-07,4.2
2024-08,4.2
2024-09,4.1
2024-10,4.1
2024-11,4.2
2024-12,4.1
2024-01,3.6
2024-02,3.7
2024-03,3.6
2024-04,3.7
2024-05,3.6
2024-06,3.6
2024-07,3.6
2024-08,3.7
2024-09,3.7
2024-10,3.7
2024-11,3.7
2024-12,3.7
2024-01,4.2
2024-02,4.3
2024-03,4.4
2024-04,4.4
2024-05,4.2
2024-06,4.2
2024-07,4.1
2024-08,4.3
2024-09,4.3
2024-10,4.4
2024-11,4.4
2024-12,4.4
2024-01,6
2024-02,5.9
2024-03,5.7
2024-04,5.9
2024-05,6.1
2024-06,6.2
2024-07,5.9
2024-08,6.2
2024-09,6.7
2024-11,6.8
2024-12,7
2024-01,7.6
2024-02,7.4
2024-03,7.4
2024-04,7.3
2024-05,7.4
2024-07,7.4
2024-08,7.4
2024-09,7.4
2024-10,7.3
2024-11,7.3
2024-12,7.3
2024-02,8
2024-03,8.8
2024-04,8.6
2024-05,8.1
2024-06,8.3
2024-07,8.6
2024-08,8.3
2024-11,8.4
2024-12,8.5
2024-01,5.7
2024-02,5.7
2024-03,5.6
2024-04,5.6
2024-05,5.6
2024-06,5.5
2024-07,5.6
2024-08,5.7
2024-10,5.8
2024-11,5.9
2024-12,6
2024-01,5.9
2024-02,6
2024-03,6
2024-04,6.1
2024-05,6.3
2024-06,6.3
2024-07,6.4
2024-08,6.5
2024-09,6.5
2024-10,6.6
2024-11,6.6
2024-02,4.2
2024-03,4.2
2024-04,4.4
2024-05,4.4
2024-06,4.4
2024-07,4.5
2024-08,4.1
2024-09,4.1
2024-10,4.2
2024-11,4.2
2024-01,11.9
2024-02,11.8
2024-03,11.7
2024-04,11.6
2024-05,11.6
2024-06,11.5
2024-07,11.5
2024-08,11.3
2024-09,11.1
2024-10,10.8
2024-11,10.7
2024-12,10.8
2024-01,4.5
2024-02,3.6
2024-03,3.9
2024-04,4.3
2024-05,4
2024-06,4
2024-07,3.9
2024-08,4
2024-09,4
2024-12,4.2
2024-01,2.9
2024-02,2.7
