,Country,diaspora,iso3
0,Brazil,2000000,BRA
1,Argentina,1200000,ARG
2,Colombia,125000,COL
3,United States,440279,USA
4,Venezuela,340000,VEN
5,France,300000,FRA
6,Australia,340000,AUS
7,Canada,190275,CAN
8,Germany,147000,DEU
9,Saudi Arabia,120000,SAU
10,Syria,105000,SYR
11,Ecuador,100000,ECU
12,Ivory Coast,100000,CIV
13,Mexico,100000,MEX
14,Dominican Republic,80000,DOM
15,United Arab Emirates,80000,ARE
16,Uruguay,53000,URY
17,Senegal,50000,SEN
18,Kuwait,41775,KWT
19,Nigeria,30000,NGA
20,Sweden,26906,SWE
21,Denmark,26705,DNK
22,DR Congo,25000,COD
23,Qatar,25000,QAT
24,Spain,11820,ESP
25,New Zealand,8500,NZL
26,Turkey,7340,TUR
27,South Africa,5800,ZAF
28,Israel,3500,ISR
29,Sierra Leone,3000,SLE
30,Liberia,3000,LBR
31,Belgium,2400,BEL
