Region,2020
Isle of Anglesey ,4.3
Gwynedd ,2.7
Conwy ,3.4
Denbighshire ,4.8
Ceredigion ,2.4
Pembrokeshire ,4.5
Carmarthenshire ,3.3
Swansea ,4.4
Neath Port Talbot ,4.8
Bridgend ,3.2
Rhondda Cynon Taf ,4.6
Merthyr Tydfil ,5.8
Caerphilly ,5
Blaenau Gwent ,3.6
Torfaen ,3.7
Flintshire ,2.8
Wrexham ,4.5
Powys ,3
Vale of Glamorgan ,2.8
Cardiff ,3.3
Monmouthshire ,3.1
Newport ,3.1
North Wales (1),3.6
Mid Wales (2),2.8
South West Wales (3),4.2
South East Wales (4),3.7
Mid and South West Wales (5),3.9
