Code,Region,Unemployment_2020
W06000001,Isle of Anglesey,4.3
W06000002,Gwynedd,2.7
W06000003,Conwy,3.4
W06000004,Denbighshire,4.8
W06000005,Flintshire,2.8
W06000006,Wrexham,4.5
W06000008,Ceredigion,2.4
W06000009,Pembrokeshire,4.5
W06000010,Carmarthenshire,3.3
W06000011,Swansea,4.4
W06000012,Neath Port Talbot,4.8
W06000013,Bridgend,3.2
W06000014,Vale of Glamorgan,2.8
W06000015,Cardiff,3.3
W06000016,Rhondda Cynon Taf,4.6
W06000018,Caerphilly,5.0
W06000019,Blaenau Gwent,3.6
W06000020,Torfaen,3.7
W06000021,Monmouthshire,3.1
W06000022,Newport,3.1
W06000023,Powys,3.0
W06000024,Merthyr Tydfil,5.8
